S. No.,Date,Location,Inside / Outside,Mortality / Seizure,State,Sex,Age
28,03/13/2022,"Private farm of Ghoturli village, Udasa beat,, Makardhokda round, North Umred range, Nagpur",Outside Tiger Reserve,Mortality,Maharashtra,Male,Sub Adult
27,03-09-2022,"Bandipur,Vesali Mancchanna Moole , Nayihalli beat,, Hosahalli section, Gundre range",Inside Tiger Reserve,Mortality,Karnataka,Female,Adult
26,03-08-2022,"Pench,Compartment No 630, West Khamrit beat,Kurai zone, Pench Mogali Sanctuary",Inside Tiger Reserve,Mortality,Madhya Pradesh,Male,NA
25,03-01-2022,"Pench,RF 642, Alesur, Rukkad circle",Inside Tiger Reserve,Mortality,Madhya Pradesh,Female,Sub Adult
24,02/28/2022,"Nagbhid Range, Brahmapuri Forest Division,Gat No. 582, Village: Huma, Beat-Huma, Nagbhid rou",Outside Tiger Reserve,Mortality,Maharashtra,Male,NA
23,02/18/2022,"Kaziranga,Kaziranga Range,Near patrolling path of Karasing anti-poaching cam",Inside Tiger Reserve,Mortality,Assam,NA,Sub Adult
22,02/18/2022,"Kanha, Kisli Range,CN 693, Khatia beat, Kisli circle",Inside Tiger Reserve,Mortality,Madhya Pradesh,Male,Adult
21,02/14/2022,,Inside Tiger Reserve,Seizure,Karnataka,Male,NA
20,02/14/2022,"Melppady, Nelliyampathy Forest Station, Nelliyampa",Outside Tiger Reserve,Mortality,Kerala,Male,NA
19,02/13/2022,Allapalli Division,Outside Tiger Reserve,Mortality,Maharashtra,Male,NA
18,02-09-2022,"NSTR,Compartment No 355, Gandleru,Nuthala north beat in Nandyal Division",Inside Tiger Reserve,Mortality,Andhra Pradesh,Female,NA
17,02-06-2022,"Compartment No 420, Paoni range, FDCM Ltd,Forest Project Division, Nagpur",Outside Tiger Reserve,Mortality,Maharashtra,Male,Adult
16,02-08-2022,"Near Bandardewa,Harmoti range,Lakhimpur division",Outside Tiger Reserve,Seizure,Assam,NA,Adult
15,02-08-2022,"Kanha,Compartment 106, Kanha beat, Kanha circle, Kanha range",Inside Tiger Reserve,Mortality,Madhya Pradesh,Female,Cub
14,01/29/2022,"Bandipur,Dhanadadari jeep road, Moolehole beat,Moolehole Section, Moolehole Range",Inside Tiger Reserve,Mortality,Karnataka,Male,Adult
13,01/28/2022,"near nalha of s.n.42 of village- mathadi in ,Dodmazari Beat of Bhandara Range,Bhandara Division",Outside Tiger Reserve,Mortality,Maharashtra,Male,NA
12,01/28/2022,"Bandhavgarh,Gadarihaar, Badwar beat",Inside Tiger Reserve,Mortality,Madhya Pradesh,Male,NA
11,01/25/2022,"Nagarhole,Garigemaradahalla, Near Golur fire line, Kakankote,Suliaballe beat, DB Kuppe range",Inside Tiger Reserve,Mortality,Karnataka,Male,Cub
10,01/25/2022,"Nagarhole,Garigemaradahalla, Near Golur fire line, Kakankote,Suliaballe beat, DB Kuppe range",Inside Tiger Reserve,Mortality,Karnataka,Female,Cub
9,01/18/2022,"Amjor range, Dholar beat,Tendua, North Shadol Division",Outside Tiger Reserve,Mortality,Madhya Pradesh,Female,Adult
8,01/15/2022,"Pench,Bhuradait Rapta beat,Kumbhadev Compartment No 589, Karmajhiri range",Inside Tiger Reserve,Mortality,Madhya Pradesh,Female,Adult
7,01/14/2022,"Periyar,Thekkady, Periyar Tiger Reserve East Division",Inside Tiger Reserve,Mortality,Kerala,Female,Sub Adult
6,01/13/2022,"Ramghat-1 beat, Arjani Morgaon round and range, Gondia ,Forest Division, Nagpur circle",Outside Tiger Reserve,Mortality,Maharashtra,Male,Adult
5,01/13/2022,"Bandipur,Gandathur Beat, Hosalli Section of Gundre Range",Inside Tiger Reserve,Mortality,Karnataka,Male,Adult
4,01-08-2022,"Bandhavgarh,Compartment RF 338, Majholi beat,Manpur buffer range, Samarkohni circle",Inside Forest Reserve,Mortality,Madhya Pradesh,Female,Cub
3,01-06-2022,Valmiki Tiger Reserve,InsideTiger Reserve,Mortality,Bihar,Male,Cub
2,01-05-2022,"Wadsa division, Gadchiroli circle,Katali Village, Sakhara Beat, Porla Round and Rang",Outside Tiger Reserve,Mortality,Maharashtra,Male,Sub Adult
1,01-03-2022,"Agricultural land, Bhadravati beat and range,Chandrapur division and circle",Outside Tiger Reserve,Mortality,Maharashtra,Female,Adult
